Table:uint8,RecordID:uint32,MaskIndex:uint8,Mask:blob,Comment:string
0,69,1,0x00000080,SkillLineAbility Spell 116 (Skill 6)
0,472,1,0x00000080,SkillLineAbility Spell 205 (Skill 6)
0,474,1,0x00000080,SkillLineAbility Spell 122 (Skill 6)
0,751,1,0x00000080,SkillLineAbility Spell 865 (Skill 6)
0,1813,1,0x00000080,SkillLineAbility Spell 837 (Skill 6)
0,3592,1,0x00000080,SkillLineAbility Spell 10 (Skill 6)
0,3822,1,0x00000080,SkillLineAbility Spell 6141 (Skill 6)
0,3823,1,0x00000080,SkillLineAbility Spell 6143 (Skill 6)
0,4042,1,0x00000080,SkillLineAbility Spell 6131 (Skill 6)
0,4224,1,0x00000080,SkillLineAbility Spell 168 (Skill 6)
0,4225,1,0x00000080,SkillLineAbility Spell 7300 (Skill 6)
0,4226,1,0x00000080,SkillLineAbility Spell 7301 (Skill 6)
0,4241,1,0x00000080,SkillLineAbility Spell 7302 (Skill 6)
0,4242,1,0x00000080,SkillLineAbility Spell 7320 (Skill 6)
0,4243,1,0x00000080,SkillLineAbility Spell 7322 (Skill 6)
0,4669,1,0x00000080,SkillLineAbility Spell 8406 (Skill 6)
0,4670,1,0x00000080,SkillLineAbility Spell 8407 (Skill 6)
0,4671,1,0x00000080,SkillLineAbility Spell 8408 (Skill 6)
0,4678,1,0x00000080,SkillLineAbility Spell 8427 (Skill 6)
0,4705,1,0x00000080,SkillLineAbility Spell 8461 (Skill 6)
0,4707,1,0x00000080,SkillLineAbility Spell 120 (Skill 6)
0,4716,1,0x00000080,SkillLineAbility Spell 8492 (Skill 6)
0,5439,1,0x00000080,SkillLineAbility Spell 10159 (Skill 6)
0,5440,1,0x00000080,SkillLineAbility Spell 10160 (Skill 6)
0,5441,1,0x00000080,SkillLineAbility Spell 10161 (Skill 6)
0,5448,1,0x00000080,SkillLineAbility Spell 8462 (Skill 6)
0,5449,1,0x00000080,SkillLineAbility Spell 10177 (Skill 6)
0,5450,1,0x00000080,SkillLineAbility Spell 10179 (Skill 6)
0,5451,1,0x00000080,SkillLineAbility Spell 10180 (Skill 6)
0,5452,1,0x00000080,SkillLineAbility Spell 10181 (Skill 6)
0,5453,1,0x00000080,SkillLineAbility Spell 10185 (Skill 6)
0,5454,1,0x00000080,SkillLineAbility Spell 10186 (Skill 6)
0,5455,1,0x00000080,SkillLineAbility Spell 10187 (Skill 6)
0,5471,1,0x00000080,SkillLineAbility Spell 10219 (Skill 6)
0,5472,1,0x00000080,SkillLineAbility Spell 10220 (Skill 6)
0,5476,1,0x00000080,SkillLineAbility Spell 10230 (Skill 6)
0,5995,1,0x00000080,SkillLineAbility Spell 11426 (Skill 6)
0,6356,1,0x00000080,SkillLineAbility Spell 11958 (Skill 6)
0,6742,1,0x00000080,SkillLineAbility Spell 12472 (Skill 6)
0,6743,1,0x00000080,SkillLineAbility Spell 11070 (Skill 6)
0,6744,1,0x00000080,SkillLineAbility Spell 12473 (Skill 6)
0,6751,1,0x00000080,SkillLineAbility Spell 12484 (Skill 6)
0,6752,1,0x00000080,SkillLineAbility Spell 11185 (Skill 6)
0,6753,1,0x00000080,SkillLineAbility Spell 12487 (Skill 6)
0,6754,1,0x00000080,SkillLineAbility Spell 12488 (Skill 6)
0,6755,1,0x00000080,SkillLineAbility Spell 12485 (Skill 6)
0,6756,1,0x00000080,SkillLineAbility Spell 12486 (Skill 6)
0,6757,1,0x00000080,SkillLineAbility Spell 11190 (Skill 6)
0,6758,1,0x00000080,SkillLineAbility Spell 12489 (Skill 6)
0,6759,1,0x00000080,SkillLineAbility Spell 12490 (Skill 6)
0,6760,1,0x00000080,SkillLineAbility Spell 11071 (Skill 6)
0,6761,1,0x00000080,SkillLineAbility Spell 12494 (Skill 6)
0,6762,1,0x00000080,SkillLineAbility Spell 12496 (Skill 6)
0,6763,1,0x00000080,SkillLineAbility Spell 12497 (Skill 6)
0,6776,1,0x00000080,SkillLineAbility Spell 11160 (Skill 6)
0,6777,1,0x00000080,SkillLineAbility Spell 12518 (Skill 6)
0,6778,1,0x00000080,SkillLineAbility Spell 12519 (Skill 6)
0,6816,1,0x00000080,SkillLineAbility Spell 11175 (Skill 6)
0,6817,1,0x00000080,SkillLineAbility Spell 12569 (Skill 6)
0,6818,1,0x00000080,SkillLineAbility Spell 12571 (Skill 6)
0,6891,1,0x00000080,SkillLineAbility Spell 11207 (Skill 6)
0,6893,1,0x00000080,SkillLineAbility Spell 12672 (Skill 6)
0,7102,1,0x00000080,SkillLineAbility Spell 11151 (Skill 6)
0,7103,1,0x00000080,SkillLineAbility Spell 12952 (Skill 6)
0,7104,1,0x00000080,SkillLineAbility Spell 12953 (Skill 6)
0,7136,1,0x00000080,SkillLineAbility Spell 11170 (Skill 6)
0,7137,1,0x00000080,SkillLineAbility Spell 12982 (Skill 6)
0,7138,1,0x00000080,SkillLineAbility Spell 12983 (Skill 6)
